Size	Method	Real Time(s)	Flops/Cycle	MFLOPS	Relative Error
360	jik	3.889400e-01	0.781162	3295.711446	1.035041
360	jki	3.887000e-01	0.781350	3297.500051	1.033735
360	kij	3.887900e-01	0.781159	3296.894082	1.027967
360	kji	3.886600e-01	0.781502	3298.290228	1.027059
360	dgemm_1	3.235100e-01	0.817667	3447.468919	1.029169
360	dgemm_2	1.550700e-01	1.456709	6146.105243	1.029108
360	dgemm_3	9.069000e-02	2.573794	10852.170250	1.025515
360	dgemm_4	1.123900e-01	2.215444	9345.095471	1.022685
360	atlas	4.553000e-02	4.908638	20645.969031	0.000000
400	ijk	6.503000e-01	0.803963	3391.722251	1.081520
400	ikj	6.500600e-01	0.803870	3392.599760	1.079614
400	jik	6.507400e-01	0.803910	3389.320666	1.083084
400	jki	6.501500e-01	0.803808	3392.204983	1.081362
400	kij	6.510900e-01	0.803962	3387.605108	1.082644
400	kji	6.500400e-01	0.803934	3392.832333	1.081939
400	dgemm_1	4.501100e-01	0.815826	3432.379041	1.084023
400	dgemm_2	2.149300e-01	1.444219	6092.690737	1.072757
400	dgemm_3	1.275400e-01	2.516546	10612.154383	1.080209
400	dgemm_4	1.617400e-01	2.177870	9184.912452	1.078083
400	atlas	5.764000e-02	5.305779	22360.385843	0.000000
440	ijk	7.223800e-01	0.782522	3299.328871	1.103115
440	ikj	7.215300e-01	0.782716	3303.362022	1.105944
440	jik	7.216600e-01	0.782599	3302.607294	1.102745
440	jki	7.221700e-01	0.782701	3300.482920	1.107410
440	kij	7.215800e-01	0.782638	3303.001317	1.102512
440	kji	7.230500e-01	0.782667	3296.355065	1.103249
440	dgemm_1	6.013600e-01	0.816598	3441.659804	1.103663
440	dgemm_2	2.884700e-01	1.432400	6044.519603	1.103793
440	dgemm_3	1.718400e-01	2.494842	10524.150722	1.104159
440	dgemm_4	2.165400e-01	2.167522	9138.250716	1.099741
440	atlas	7.291000e-02	5.589760	23531.982856	0.000000
480	ijk	1.230040e+00	0.774809	3268.253602	1.115525
